ID| Author| Title| Language| Wordcount| Unique Wordcount| Sentences| MLS| Path
8744|Turgenev, Ivan Sergeevich, 1818-1883|A Sportsman's Sketches, Volume 2 Works of Ivan Turgenev, Volume 2|en|0|0|0|0.0|dirs/etext05/8ivn210.zip
8745|Henty, G. A. (George Alfred), 1832-1902|Wulf the Saxon A Story of the Norman Conquest|en|0|0|0|0.0|dirs/etext05/wulfs10.zip
8746|Smith, David Eugene|History of Modern Mathematics Mathematical Monographs No. 1|en|0|0|0|0.0|files/8746/8746.zip
8747|Myers, F. W. H. (Frederic William Henry), 1843-1901|Wordsworth|en|0|0|0|0.0|dirs/etext05/8word10.zip
8748|Burroughs, Edgar Rice, 1875-1950|A Princess of Mars|en|0|0|0|0.0|dirs/etext05/pmars3-readme.txt
8749|Burroughs, Edgar Rice, 1875-1950|Gods of Mars|en|0|0|0|0.0|dirs/etext05/gmars3-readme.txt
875|Wilde, Oscar, 1854-1900|The Duchess of Padua|en|0|0|0|0.0|dirs/etext97/dpdua10.zip
8750|Burroughs, Edgar Rice, 1875-1950|War-lord of Mars|en|0|0|0|0.0|dirs/etext05/wmars3-readme.txt
8751|Burroughs, Edgar Rice, 1875-1950|Thuvia|en|0|0|0|0.0|dirs/etext05/mmars3-readme.txt
8752|Burroughs, Edgar Rice, 1875-1950|Return of Tarzan|en|0|0|0|0.0|dirs/etext05/tarz23-readme.txt
8753|Burroughs, Edgar Rice, 1875-1950|Beasts of Tarzan|en|0|0|0|0.0|dirs/etext05/tarz33-readme.txt
8754|Burroughs, Edgar Rice, 1875-1950|Son of Tarzan|en|0|0|0|0.0|dirs/etext05/tarz43-readme.txt
8755|Burroughs, Edgar Rice, 1875-1950|Tarzan and the Jewels of Opar|en|0|0|0|0.0|dirs/etext05/tarz53-readme.txt
8756|Burroughs, Edgar Rice, 1875-1950|The Monster Men|en|0|0|0|0.0|dirs/etext05/monst3-readme.txt
8757|Burroughs, Edgar Rice, 1875-1950|At the Earth's Core|en|0|0|0|0.0|dirs/etext05/ecore3-readme.txt
8758|Burroughs, Edgar Rice, 1875-1950|Jungle Tales of Tarzan|en|0|0|0|0.0|dirs/etext05/tarz63-readme.txt
8759|Burroughs, Edgar Rice, 1875-1950|The Lost Continent|en|0|0|0|0.0|dirs/etext05/lcont3-readme.txt
876|Davis, Rebecca Harding, 1831-1910|Life in the Iron-Mills; or, the Korl Woman|en|0|0|0|0.0|files/876/876.zip
8760|Burroughs, Edgar Rice, 1875-1950|The Mad King|en|0|0|0|0.0|dirs/etext05/mdkng3-readme.txt
8761|Burroughs, Edgar Rice, 1875-1950|The Oakdale Affair|en|0|0|0|0.0|dirs/etext05/oakda3-readme.txt
8762|Burroughs, Edgar Rice, 1875-1950|The Outlaw of Torn|en|0|0|0|0.0|dirs/etext05/otorn3-readme.txt
8763|Burroughs, Edgar Rice, 1875-1950|The Land That Time Forgot|en|0|0|0|0.0|dirs/etext05/tlttf3-readme.txt
8764|Burroughs, Edgar Rice, 1875-1950|People out of Time|en|0|0|0|0.0|dirs/etext05/poftm3-readme.txt
8765|Burroughs, Edgar Rice, 1875-1950|Pellucidar|en|0|0|0|0.0|dirs/etext05/pellu3-readme.txt
8766|Burroughs, Edgar Rice, 1875-1950|The Chessmen of Mars|en|0|0|0|0.0|dirs/etext05/cmars3-readme.txt
8767|Burroughs, Edgar Rice, 1875-1950|Tarzan the Untamed|en|0|0|0|0.0|dirs/etext05/tarz73-readme.txt
8768|Burroughs, Edgar Rice, 1875-1950|Tarzan the Terrible|en|0|0|0|0.0|dirs/etext05/tzntr3-readme.txt
8769|Burroughs, Edgar Rice, 1875-1950|The Efficiency Expert|en|0|0|0|0.0|dirs/etext05/effnc3-readme.txt
877|Irving, Washington, 1783-1859|Little Britain|en|0|0|0|0.0|dirs/8/7/877/877.zip
8770|Pattison, Mark, 1813-1884|Milton|en|0|0|0|0.0|dirs/etext05/8mltn10.zip
8771|Cabell, James Branch, 1879-1958|Jurgen A Comedy of Justice|en|0|0|0|0.0|dirs/etext05/8jurg10.zip
8772|Moli√®re, 1622-1673|The Learned Women|en|0|0|0|0.0|dirs/etext05/8lwom10.zip
8773|Sutherland, Halliday G., 1882-1960|Birth Control A Statement of Christian Doctrine against the Neo-Malthusians|en|0|0|0|0.0|dirs/etext05/8bctr10.zip
8774|Wordsworth, William, 1770-1850|Poems in Two Volumes, Volume 1|en|0|0|0|0.0|dirs/etext05/pwdw110.zip
8775|Hugo, Victor, 1802-1885|Poems|en|0|0|0|0.0|dirs/etext05/8hugo10.zip
8776|Moli√®re, 1622-1673|The Impostures of Scapin|en|0|0|0|0.0|dirs/etext05/8scap10.zip
8777|Fields, Annie, 1834-1915|Authors and Friends|en|0|0|0|0.0|dirs/etext05/8thrs10.zip
8778|Morris, William, 1834-1896|The Water of the Wondrous Isles|en|0|0|0|0.0|dirs/etext05/wtwn10.zip
8779|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 01|en|0|0|0|0.0|dirs/8/7/7/8779/8779.zip
878|Whittier, John Greenleaf, 1807-1892|Yankee Gypsies|en|0|0|0|0.0|files/878/878.zip
8780|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 02|en|0|0|0|0.0|dirs/8/7/8/8780/8780.zip
8781|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 03|en|0|0|0|0.0|dirs/8/7/8/8781/8781.zip
8782|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 04|en|0|0|0|0.0|dirs/8/7/8/8782/8782.zip
8783|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 05|en|0|0|0|0.0|dirs/8/7/8/8783/8783.zip
8784|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 06|en|0|0|0|0.0|dirs/8/7/8/8784/8784.zip
8785|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 07|en|0|0|0|0.0|dirs/8/7/8/8785/8785.zip
8786|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 08|en|0|0|0|0.0|dirs/8/7/8/8786/8786.zip
8787|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 09|en|0|0|0|0.0|dirs/8/7/8/8787/8787.zip
8788|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Volume 10|en|0|0|0|0.0|dirs/8/7/8/8788/8788.zip
8789|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Hell, Complete|en|0|0|0|0.0|dirs/8/7/8/8789/8789.zip
879|Whittier, John Greenleaf, 1807-1892|The Boy Captives|en|0|0|0|0.0|files/879/879.zip
8790|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Purgatory, Volume 1|en|0|0|0|0.0|dirs/8/7/9/8790/8790.zip
8791|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Purgatory, Volume 2|en|0|0|0|0.0|dirs/8/7/9/8791/8791.zip
8792|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Purgatory, Volume 3|en|0|0|0|0.0|dirs/8/7/9/8792/8792.zip
8793|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Purgatory, Volume 4|en|0|0|0|0.0|dirs/8/7/9/8793/8793.zip
8794|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Purgatory, Volume 5|en|0|0|0|0.0|dirs/8/7/9/8794/8794.zip
8795|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Purgatory, Complete|en|0|0|0|0.0|dirs/8/7/9/8795/8795.zip
8796|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Paradise, Volume 1|en|0|0|0|0.0|dirs/8/7/9/8796/8796.zip
8797|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Paradise, Volume 2|en|0|0|0|0.0|dirs/8/7/9/8797/8797.zip
8798|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Paradise, Volume 3|en|0|0|0|0.0|dirs/8/7/9/8798/8798.zip
8799|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated, Paradise, Complete|en|0|0|0|0.0|dirs/8/7/9/8799/8799.zip
88|United States|Price/Cost Indexes from 1875 to 1989|en|0|0|0|0.0|files/88/88.zip
880|Lowell, James Russell, 1819-1891|My Garden Acquaintance|en|0|0|0|0.0|files/880/880.zip
8800|Dante Alighieri, 1265-1321|The Divine Comedy by Dante, Illustrated|en|0|0|0|0.0|files/8800/8800.zip
8801|Whitman, Walt, 1819-1892|Drum Taps|en|0|0|0|0.0|dirs/etext05/8drum10.zip
8802|Hitchcock, Elizabeth Arnold|Elizabeth: the Disinherited Daughter By E. Ben Ez-er|en|0|0|0|0.0|dirs/etext05/elizb10.zip
8803|Balzac, Honor√© de, 1799-1850|Gro√?e und kleine Welt|de|0|0|0|0.0|dirs/etext05/8grkl10.zip
8804|Flaubert, Gustave, 1821-1880|Drie Vertellingen|nl|0|0|0|0.0|dirs/etext05/8drvt10.zip
8805|Merriman, Henry Seton, 1862-1903|From One Generation to Another|en|0|0|0|0.0|dirs/etext05/8ongn10.zip
8806|Burroughs, Edgar Rice, 1875-1950|The Mucker|en|0|0|0|0.0|dirs/etext05/tmuck3-readme.txt
8807|Davis, Richard Harding, 1864-1916|Cuba in War Time|en|0|0|0|0.0|dirs/etext05/8cuba3-readme.txt
8808|Kippis, Andrew, 1725-1795|Narrative of Cook's Voyage|en|0|0|0|0.0|dirs/etext05/8vcjc3-readme.txt
