Test File, upham_1.test.dat
Known Author Name, Unknown Author Name, Threshold, Match Value, Matches,Common Synonym Count, Scaled SC 2, Scaled SC 3, Scaled SC 4, Words Enc. Known, Words Enc. Unk.,Words over Threshold Known, Words Over Threshold Unk.,Dictionary Hits Known, Dictionary Hits Unk.
traill_20x5 ,upham_1, 22, 4.3296678969212335E-5, 616,23893, 1236819.0, 8.8640929E7, 8.153278107E9, 116710, 58075, 896, 851, 79308, 37050, 1
upham_20x5 ,upham_1, 23, 4.262804576546088E-5, 580,23050, 1212898.0, 8.7491632E7, 8.054005798E9, 126291, 58075, 747, 784, 82705, 37050, 
child_20x5 ,upham_1, 23, 3.011101430811893E-5, 550,21686, 1126446.0, 7.958066E7, 7.131029658E9, 171164, 58075, 758, 784, 109304, 37050, 
abbott_20x5 ,upham_1, 23, 3.937529226294966E-5, 568,22288, 1149824.0, 8.1497368E7, 7.441308008E9, 130385, 58075, 743, 784, 83320, 37050, 
traill_20x5 ,upham_1, 23, 4.245600972833422E-5, 579,23079, 1218911.0, 8.8246953E7, 8.144610635E9, 116710, 58075, 825, 784, 79308, 37050, 1
upham_20x5 ,upham_1, 24, 4.154301434619667E-5, 534,21992, 1188564.0, 8.693195E7, 8.041133112E9, 126291, 58075, 686, 716, 82705, 37050, 
child_20x5 ,upham_1, 24, 2.945389454271994E-5, 505,20651, 1102641.0, 7.9033145E7, 7.118436813E9, 171164, 58075, 691, 716, 109304, 37050, 
abbott_20x5 ,upham_1, 24, 3.857643951269784E-5, 528,21368, 1128664.0, 8.1010688E7, 7.430114368E9, 130385, 58075, 688, 716, 83320, 37050, 
traill_20x5 ,upham_1, 24, 4.1516047683119335E-5, 534,22044, 1195106.0, 8.7699438E7, 8.13201779E9, 116710, 58075, 751, 716, 79308, 37050, 1
upham_20x5 ,upham_1, 25, 3.3696102026330605E-5, 494,21032, 1165524.0, 8.637899E7, 8.027862072E9, 126291, 58075, 631, 654, 82705, 37050, 
child_20x5 ,upham_1, 25, 2.3526537442703346E-5, 458,19523, 1075569.0, 7.8383417E7, 7.102843341E9, 171164, 58075, 622, 654, 109304, 37050, 
abbott_20x5 ,upham_1, 25, 3.081743855670591E-5, 482,20264, 1102168.0, 8.0374784E7, 7.414852672E9, 130385, 58075, 613, 654, 83320, 37050, 
traill_20x5 ,upham_1, 25, 3.304620918183283E-5, 489,20964, 1169186.0, 8.7077358E7, 8.11708787E9, 116710, 58075, 676, 654, 79308, 37050, 1
upham_20x5 ,upham_1, 26, 3.213836340292099E-5, 447,19857, 1136149.0, 8.5644615E7, 8.009502697E9, 126291, 58075, 566, 587, 82705, 37050, 
child_20x5 ,upham_1, 26, 2.2487841548988627E-5, 413,18398, 1047444.0, 7.7680292E7, 7.085265216E9, 171164, 58075, 556, 587, 109304, 37050, 
abbott_20x5 ,upham_1, 26, 2.9711405859837163E-5, 445,19339, 1079043.0, 7.9796659E7, 7.400399547E9, 130385, 58075, 558, 587, 83320, 37050, 
traill_20x5 ,upham_1, 26, 3.181795866756286E-5, 452,20039, 1146061.0, 8.6499233E7, 8.102634745E9, 116710, 58075, 618, 587, 79308, 37050, 1
upham_20x5 ,upham_1, 27, 3.1521539811471976E-5, 416,19051, 1115193.0, 8.5099759E7, 7.995336441E9, 126291, 58075, 524, 542, 82705, 37050, 
child_20x5 ,upham_1, 27, 2.2116426029415284E-5, 384,17644, 1027840.0, 7.7170588E7, 7.072012912E9, 171164, 58075, 516, 542, 109304, 37050, 
abbott_20x5 ,upham_1, 27, 2.9024675110736573E-5, 412,18481, 1056735.0, 7.9216651E7, 7.385319339E9, 130385, 58075, 515, 542, 83320, 37050, 
traill_20x5 ,upham_1, 27, 3.114282661311249E-5, 420,19207, 1124429.0, 8.5936801E7, 8.088011513E9, 116710, 58075, 570, 542, 79308, 37050, 1
upham_20x5 ,upham_1, 28, 3.0895717467362554E-5, 384,18187, 1091865.0, 8.4469903E7, 7.978330329E9, 126291, 58075, 478, 492, 82705, 37050, 
child_20x5 ,upham_1, 28, 2.1722576690539435E-5, 357,16915, 1008157.0, 7.6639147E7, 7.057664005E9, 171164, 58075, 466, 492, 109304, 37050, 
abbott_20x5 ,upham_1, 28, 2.8447028899858496E-5, 376,17509, 1030491.0, 7.8508063E7, 7.366187463E9, 130385, 58075, 463, 492, 83320, 37050, 
traill_20x5 ,upham_1, 28, 3.0505464184085907E-5, 390,18397, 1102559.0, 8.5346311E7, 8.072068283E9, 116710, 58075, 519, 492, 79308, 37050, 1
upham_20x5 ,upham_1, 29, 3.0113098675382587E-5, 348,17179, 1063641.0, 8.3679631E7, 7.956202713E9, 126291, 58075, 428, 443, 82705, 37050, 
child_20x5 ,upham_1, 29, 2.1201468242167305E-5, 322,15935, 980717.0, 7.5870827E7, 7.036151045E9, 171164, 58075, 412, 443, 109304, 37050, 
abbott_20x5 ,upham_1, 29, 2.7759241641913134E-5, 337,16417, 999915.0, 7.7651935E7, 7.342215879E9, 130385, 58075, 413, 443, 83320, 37050, 
traill_20x5 ,upham_1, 29, 2.9749481525212718E-5, 354,17389, 1074335.0, 8.4556039E7, 8.049940667E9, 116710, 58075, 463, 443, 79308, 37050, 1
upham_20x5 ,upham_1, 30, 2.8780601557957458E-5, 310,16077, 1031683.0, 8.2752849E7, 7.929326035E9, 126291, 58075, 381, 392, 82705, 37050, 
child_20x5 ,upham_1, 30, 2.015995554602895E-5, 289,14978, 952964.0, 7.506599E7, 7.012810772E9, 171164, 58075, 375, 392, 109304, 37050, 
abbott_20x5 ,upham_1, 30, 2.6211984438747256E-5, 298,15286, 967116.0, 7.6700764E7, 7.31463192E9, 130385, 58075, 366, 392, 83320, 37050, 
traill_20x5 ,upham_1, 30, 2.8624212255262326E-5, 313,16200, 1039854.0, 8.355609E7, 8.020942146E9, 116710, 58075, 413, 392, 79308, 37050, 1
Test File, upham_2.test.dat
Known Author Name, Unknown Author Name, Threshold, Match Value, Matches,Common Synonym Count, Scaled SC 2, Scaled SC 3, Scaled SC 4, Words Enc. Known, Words Enc. Unk.,Words over Threshold Known, Words Over Threshold Unk.,Dictionary Hits Known, Dictionary Hits Unk.
upham_20x5 ,upham_2, 0, 6.608207624182433E-5, 3209,41981, 1374205.0, 8.4789839E7, 7.528507081E9, 126291, 57525, 7057, 5588, 82705, 35566, 
child_20x5 ,upham_2, 0, 4.908457611366389E-5, 2673,39171, 1320543.0, 8.1234027E7, 7.124509959E9, 171164, 57525, 7111, 5588, 109304, 35566, 
abbott_20x5 ,upham_2, 0, 6.0778248458410794E-5, 2750,40459, 1370999.0, 8.6494633E7, 7.853105627E9, 130385, 57525, 6247, 5588, 83320, 35566, 
traill_20x5 ,upham_2, 0, 6.66050244478015E-5, 2631,39254, 1357846.0, 8.5396232E7, 7.612798642E9, 116710, 57525, 7437, 5588, 79308, 35566, 0
upham_20x5 ,upham_2, 1, 6.608207624182433E-5, 2983,41981, 1374205.0, 8.4789839E7, 7.528507081E9, 126291, 57525, 6357, 5076, 82705, 35566, 
child_20x5 ,upham_2, 1, 4.908457611366389E-5, 2545,39171, 1320543.0, 8.1234027E7, 7.124509959E9, 171164, 57525, 6492, 5076, 109304, 35566, 
abbott_20x5 ,upham_2, 1, 6.0778248458410794E-5, 2644,40459, 1370999.0, 8.6494633E7, 7.853105627E9, 130385, 57525, 5936, 5076, 83320, 35566, 
traill_20x5 ,upham_2, 1, 6.66050244478015E-5, 2512,39254, 1357846.0, 8.5396232E7, 7.612798642E9, 116710, 57525, 6910, 5076, 79308, 35566, 0
upham_20x5 ,upham_2, 2, 6.599907429428274E-5, 2858,41856, 1374080.0, 8.4789714E7, 7.528506956E9, 126291, 57525, 5932, 4808, 82705, 35566, 
child_20x5 ,upham_2, 2, 4.9043138846198175E-5, 2449,39075, 1320447.0, 8.1233931E7, 7.124509863E9, 171164, 57525, 6009, 4808, 109304, 35566, 
abbott_20x5 ,upham_2, 2, 6.071611841486327E-5, 2551,40366, 1370906.0, 8.649454E7, 7.853105534E9, 130385, 57525, 5604, 4808, 83320, 35566, 
traill_20x5 ,upham_2, 2, 6.654127461169108E-5, 2426,39168, 1357760.0, 8.5396146E7, 7.612798556E9, 116710, 57525, 6420, 4808, 79308, 35566, 0
upham_20x5 ,upham_2, 3, 6.533918816407645E-5, 2656,41452, 1373272.0, 8.4788098E7, 7.528503724E9, 126291, 57525, 5389, 4435, 82705, 35566, 
child_20x5 ,upham_2, 3, 4.861535999677277E-5, 2327,38831, 1319959.0, 8.1232955E7, 7.124507911E9, 171164, 57525, 5444, 4435, 109304, 35566, 
abbott_20x5 ,upham_2, 3, 6.0156948022935516E-5, 2423,40110, 1370394.0, 8.6493516E7, 7.853103486E9, 130385, 57525, 5153, 4435, 83320, 35566, 
traill_20x5 ,upham_2, 3, 6.594816281871985E-5, 2296,38908, 1357240.0, 8.5395106E7, 7.612796476E9, 116710, 57525, 5811, 4435, 79308, 35566, 0
upham_20x5 ,upham_2, 4, 6.482713634839698E-5, 2428,40768, 1371220.0, 8.4781942E7, 7.528485256E9, 126291, 57525, 4799, 3972, 82705, 35566, 
child_20x5 ,upham_2, 4, 4.829147900180182E-5, 2179,38387, 1318627.0, 8.1228959E7, 7.124495923E9, 171164, 57525, 4903, 3972, 109304, 35566, 
